formula,Egap
Cr2O4Zn1,4.3245
Cl2Ni7O18Te6,2.8041
Cd1Dy2Se4,0.619
C2Cl2H10N2Pt1,3.0964
C1Ca1F1K1O3,4.3435
Ce1O4V1,2.5034
Br4Sn1,2.4422
Cl3Cs1Pb1,2.1936
C60Rb6,0.6934
Br1O3Rb1,3.9725
As1La1O4,3.6442
I1Li1,4.2453
Cr1O4Yb1,0.5105
Ba1O8P2Sn1,3.1813
C6F2H14Mo1N2O4,3.1587
H1K2N1O7S2,4.7385
Ba1Li2O4Si1,4.386
Li16N8O1Ta2,3.3555
Fe2Mn1O4,0.8808
B3Li1S6Sr1,2.9052
Ba2In1Sb1Se5,0.8028
Br14Mo6Pb1,2.4885
Hf1O4Si1,5.3075
F3K1Zn1,5.183
Ba4P3,0.7444
F4O1Ru1,1.0551
Al1O4V1,3.0435
H16Mg3O16P2,4.9641
Au2O4Sr1,1.7725
As2F12N4Se6,1.1967
Na4Ni7O24P6,3.1522
C2H6P2S6,2.2058
Li2S3Te1,0.9734
H2K1N1O3S1,5.1565
H6Li1Mo1N1O5,4.1261
C1Si1,2.2984
H2K1O4P1,5.4042
Dy1I3O9,3.5304
Cl1N1Zr1,1.7602
Ba1Co1O3,0.6168
C2Cs2H8Mg1O10,4.4991
O4Sn1Sr2,2.2524
F3Ni1Rb1,4.0541
Au1Ba4Na1O8,1.3663
Mg1Mn2O4,1.7773
P1S4Sn1Tl1,1.8642
O4P1Sc1,4.8931
Br2Ca1,4.6080000000000005
C4Ca1Mg3O12,4.8082
Mn1Te2,0.6153
H1Li1Nd2O3,1.6156
Li2Te1,2.498
Nd2O13Te2W2,3.2012
Cl3Re1,0.8825
C1K1N1,5.218999999999999
Cr1Ge2Li1O6,2.9579
C5O5P4S3W1,2.3828
Fe1S1,0.5272
Bi6Br2O14Se3,3.0649
Ag3S6Sb2Tl3,1.6108
I1In1,1.3079
I5In1Sn2,1.4196
Al1H4Na1,4.6685
Ge2Na6Te6,1.261
C1O6Pb2S2,2.7259
As4Cu6Hg3S12,0.4856
In2O5P1,2.1097
F6K1Na1Sn1,4.7017
Ag1Bi3S5,0.8085
La1O7Rb1Ta2,2.5243
Ba1Cu1S3Sc1,1.1741
Mn1Sn1Te4Tl2,0.3447
Al1Br4Cs1,4.2529
F6Hf1V1,3.2043
Ge3La4S12,2.0406
C2O4Pb1,2.7910000000000004
O8Se2Tb1V1,1.8629
Ba1Co1O4Si1,3.4644
Cr5Rb1S8,1.2766
F6Rb2Rh1,1.3276
Ge1N2O1Si1,3.5077
F6Mo1,4.0293
Au1Na3O2,2.107
F1Nd1O1,3.8471
Hg3I2Se2,1.0811
Mg4N12P6S1,4.8316
Cu1N6,0.6126
Li1O5P1Ti1,3.3575
As1Na3S3,2.5147
I1N1Ti1,0.5527
H3Li1O6Se2,4.2998
Ba2Ca1Cu1F14Fe2,2.9842
B6Cs1Li1O10,5.069
As2O3,4.0171
Cl6K2Sn1,2.1333
H2Mn3Na1O12P3,3.3453
C4Cr1H8N6S4,2.428
Mn1O4Rb1V1,2.7626
O14Tl3V5,2.1645
Cs2F6Mn1,3.2328
Li2O7Ti3,3.4282
F12O8Os2Xe2,2.6095
Bi1O4Ta1,3.0015
Ag3C6Cd1N6Rb1,3.4087
B1Nd1O3,3.8737
C5Fe1O5,3.639
I1O6Rb1Sn1,2.0282
K2O5Si2,4.3171
O7V2Zr1,2.5788
F6Rb1Sb1,4.8996
Br16Re4Te8,2.0504
Te1,0.1537
Br1K1O3,3.8115
Bi2I1O4Y1,1.4012
Na1S2Tb1,2.2657
Br1Mn1S2Sb1,1.7322
Cl3Cr1O1,1.5642
Al1Cu1S2,2.0555
Al2Cl8Te4,1.3444
Li5O6Re1,2.2411
Pd1Se2,0.5755
Be2Cl6Te7,1.2883
Cl4N1V1,1.5830000000000002
C6Co1Cs2N6Rb1,5.1008
C12Co2H40N24Ni3O2,3.0424
Cu1Fe1O2,1.1459
Ca1Cl1H1O1,5.0124
Ag1Sc1Se2,1.3519
Mg1O4W1,3.3523
Na4O5U1,3.2231
K1N3,4.1587
Cr2O4Si1,2.0423
La3Li5Nb2O12,3.5429
Lu1Te2Tl1,0.4693
Mn1Mo1O6Te1,2.2871
K4O21Te2U5,2.7283
Ca2Sn1,0.0931
Ca1O3Ti1,2.366
Ag1In1S2,0.9229
Bi2S3,1.368
Nb2Se9,0.8348
Cs2O9Si3Sn1,3.3952
Al3Cl12Dy1,4.2589
K2Te3,0.5325
Li1Nb1O3,3.4461
O8P2Sr3,5.3942
Ba5Gd8O21Zn4,3.2549
Eu1Li1O8S2,0.5193
Ca1Ga1Li1N2,2.22
Ni1S17U8,1.2199
Nb1S3,0.5279
I4Nb1,0.5947
K3Na1O8Ru2,1.4531
C2Eu1N2S2,2.69
Mg3Nb6O11,0.4925
Cl1O1V1,1.6577
Cl5P4S6Ta1,2.4423
Cu1Na2O2,0.7139
Au5Cs7O2,1.029
O8Te2Tl2U1,2.8669
Nb1O4Sb1,2.6167
F1N1O1,3.1789
H2K3O10Si3Tb1,4.6063
C2Cs1Na1,3.2973
As1Cl1Hg3O4,2.0434
As1Li2Na1O4,3.8876
Bi1K1Mg1,0.4267
Er1Mn2O5,1.3064
C4Fe2H2O6,2.311
